                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96623,                 1.9362,                 1.3093,                0.75036,                0.65255,                0.67027,                0.50523,                0.82017,                 2.7327,                 1.1116,             0.00020004,             0.00020004,             0.00020004
                      2,                0.91315,                 1.1485,                 1.2813,                      1,                0.41052,                0.56001,                0.42965,                0.98076,                 1.4724,                 1.3364,             0.00041262,             0.00041262,             0.00041262
                      3,                0.94663,                 1.0409,                 1.2791,                0.70922,                0.66444,                0.71235,                0.42155,                 1.2926,                 2.5983,                 1.5862,             0.00062092,             0.00062092,             0.00062092
                      4,                 1.0135,                 1.1284,                 1.2846,                0.42334,                0.55536,                0.49545,                0.28876,                 1.7158,                  2.396,                 2.0141,             0.00082492,             0.00082492,             0.00082492
                      5,                 1.0031,                 1.1483,                 1.2819,                0.58645,                0.65357,                0.66789,                0.36864,                 1.4036,                 3.5234,                 1.6876,              0.0010246,              0.0010246,              0.0010246
                      6,                 1.0452,                 1.0746,                 1.3146,                 0.8079,                   0.45,                0.40672,                0.23053,                 1.6353,                 3.3694,                 2.5341,              0.0012201,              0.0012201,              0.0012201
                      7,                 1.0991,                 1.1449,                  1.368,                0.36723,                 0.5875,                0.38644,                0.20937,                 1.8278,                  9.503,                 2.7434,              0.0014112,              0.0014112,              0.0014112
                      8,                 1.0505,                 1.0572,                 1.3249,                0.30911,                0.37857,                0.21405,                0.09678,                 2.1179,                 3.6472,                 2.8317,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0041,                 1.0362,                 1.3194,                0.33034,                0.48929,                0.32615,                 0.1588,                 1.9997,                 2.7931,                 2.2623,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.0342,                 1.0578,                 1.3246,                0.19607,                0.45179,                0.22196,                 0.0932,                 2.6441,                 3.6502,                 2.6074,               0.001535,               0.001535,               0.001535
                     11,                 1.0368,                 1.0535,                 1.3288,                0.18078,                0.16786,                0.11509,                0.04145,                 2.5454,                 5.5149,                 2.6021,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.0159,                0.98212,                 1.2866,                 0.3351,                0.56071,                0.35354,                0.21023,                  1.616,                 4.5901,                 1.6906,               0.001502,               0.001502,               0.001502
                     13,                  1.014,                 1.0326,                 1.3229,                  0.611,                0.50893,                0.56252,                0.29964,                 1.5791,                 2.1114,                 1.6563,              0.0014855,              0.0014855,              0.0014855
                     14,                0.93778,                0.94261,                 1.2383,                0.60972,                0.62679,                0.66177,                0.35912,                 1.4579,                 1.7767,                 1.6947,               0.001469,               0.001469,               0.001469
                     15,                  1.019,                0.97946,                 1.2919,                0.68862,                0.55222,                0.68412,                0.38915,                 1.3515,                 1.7436,                 1.5346,              0.0014525,              0.0014525,              0.0014525
